114年01-12月記帳進度  (柏澄),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新申請的客戶密碼為kc+統編,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,進度日,完成日,檢查日,進度日,完成日,進度日,完成日,,,,,,,,,,,,,,,,,,,,,,
,輔助,,統一編號,公司名稱,每月收費,1-2月,3-4月,5-6月,114年7-8月,114年7-8月,114年7-8月,114年9-10月,114年9-10月,114年11-12月,114年11-12月,,,,,,,,,,,,,,,,,,,,,,
柏澄,,1,54768319,喜埕," 2,000 ",ˇ,ˇ,ˇ,114.09.20,114.09.16,,114.11.20,,115.01.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,2,83577155,篤行," 2,000 ",ˇ,ˇ,ˇ,114.09.20,114.09.16,,114.11.20,,115.01.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,3,61940568,木村一心," 2,000 ",ˇ,ˇ,ˇ,114.10.05,剩銷項,,114.12.02,,115.02.01,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,4,24843641,蘭埕," 1,000 ",ˇ,ˇ,ˇ,114.09.26,114.09.22,,114.11.26,,115.01.26,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,5,42668194,小巷愛樂芬," 1,000 ",ˇ,ˇ,ˇ,114.09.26,114.09.22,,114.12.26,,115.01.26,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,6,53602712,東坡居," 2,000 ",ˇ,ˇ,ˇ,114.10.05,114.09.15,,114.12.08,,115.02.06,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,7,39800536,禾茗飲料店," 2,000 ",ˇ,ˇ,ˇ,114.10.01,114.09.16,,114.09.05歇業,,,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,8,54746977,利基開發建設(股)," 3,500 ",ˇ,ˇ,ˇ,114.09.20,114.09.17,,114.11.20,,115.01.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,9,60361983,長葒人力資源," 2,500 ",ˇ,ˇ,ˇ,114.09.26,114.09.15,,114.11.26,,115.01.26,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,10,39800536,仲凌網通," 2,200 ",ˇ,ˇ,ˇ,114.10.01,114.09.16,,114.12.02,,115.02.01,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,11,60722441,奕緯公關," 2,000 ",無,無,ˇ,114.10.11,114.09.17,,114.12.08,,115.02.06,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,12,88577083,虫憶甲蟲館," 2,000 ",ˇ,ˇ,ˇ,114.10.11,114.09.15,,114.12.08,,115.02.06,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,13,60679768,好期," 2,000 ",無,無,ˇ,114.10.11,剩進項,,114.12.08,,115.02.06,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,14,54766972,舊氏設計(營所申報，營業稅自行申報), 167 ,無,無,無,,,,,,115.02.10,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,15,88415692,住福大河建築師(5月申報), 500 ,無,無,無,,,,,,115.02.10,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,16,39853131,企業菁英(5月申報), 500 ,無,無,無,,,,,,115.02.10,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,17,82914685,品順室內裝潢設計(114年7-12月)," 1,500 ",紜蓁,紜蓁,紜蓁,114.10.20,114.10.03,114.10.09紜,114.12.20,,114.02.12,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,18,54106748,黃蘋科技(114年7-12月)," 1,500 ",紜蓁,紜蓁,紜蓁,114.10.20,114.10.03,114.10.09紜,114.12.20,,115.02.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,19,42881218,御饗(114年7-12月)," 2,000 ",紜蓁,紜蓁,紜蓁,114.10.20,114.10.08,,114.12.20,,115.12.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,20,54899656,無齡感(114年7-12月)," 1,000 ",紜蓁,紜蓁,紜蓁,114.10.16,紜蓁,紜蓁,紜蓁,紜蓁,紜蓁,紜蓁,預計9月或10月解散,,,,,,,,,,,,,,,,,,,,,
柏澄,,21,54899641,宸鳴興業(114年7-12月)," 1,000 ",紜蓁,紜蓁,紜蓁,114.10.16,114.10.07,114.10.09紜,114.12.14,,115.02.15,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,22,54974373,群淼科技(114年7-12月)," 1,000 ",紜蓁,紜蓁,紜蓁,114.10.16,114.10.08,114.10.09紜,114.12.20,,115.02.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,23,54902385,無藏茗業(114年7-12月)," 2,500 ",紜蓁,紜蓁,紜蓁,114.10.16,114.10.07,,114.12.20,,115.02.20,,,,,,,,,,,,,,,,,,,,,,,
柏澄,,24,26829953,聾人協會," 2,500 ",ˇ,ˇ,ˇ,114.10.27,0,,114.12.26,,115.02.26,,,,,,,,,,,,,,,,,,,,,,,
,,,,士邦食品(協助掃憑證),,紜蓁,紜蓁,紜蓁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,," 40,367 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
