,,稅,宗霖,凱閔,群嘉,紜蓁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,客戶名稱,1股份2有限3商號,統一編號,稅籍編號,1書審   2查帳,查看109年1-4營業稅裡有無108年資料並且入帳,入利息收入,利息扣繳憑單, 銀行存款餘額 ,支出證明單,完成結帳,108年核定通知書, 109年暫繳 ,固定資產變動,401彙總,營業收調節表,費用科目限額,扣繳申報調節,完成申報書(日期),檢查無誤並且申報營所稅(關貿)(日期),應納稅額,檢查,承辦,給劉會審核過,109.001  (0cpa存放),修正日期,申報書傳給客戶,已繳納回傳(營所),,,,,工作底稿,,,
1,冠群資訊,2,86753078,480236028,1,V,V,V,V,V,X,V,X,X,V,V,V,V,110.06.30,," 15,714 ",110.06.30凱閔, 閔 ,110.06.30,V,, 110.06.30 , 110.06.30 ,,,,,,,,
2,冠群管理顧問,2,53858024,480236372,1,V,V,V,V,X,X,V,X,V,V,V,X,V,110.06.30,," 28,328 ",110.06.30凱閔, 閔 ,110.06.30,V,, 110.06.30 , 110.06.30 ,110.06.30劉會說109年改書審8%,,,,,,,
3,豪辰投資,1,85051303,740508165,2,V,V,V,V,X,X,V,X,V,V,V,X,V,110.06.30,, -   ,110.06.30凱閔, 閔 ,110.06.30,V,, 110.06.30 , X ,,,,,,,,
4,嘉人管顧,2,42924976,740508152,1,V,V,V, V ,X,V,, X ,X,V,V,X,V,110.06.18,, -   ,110.06.21群嘉, 紜 ,V,V,, 110.06.30 , X ,,,,,V,,,
5,日央文化事業,1,24538831,110230311,1,V,V,X,V,X,V,, X ,X,X,X,X,V,110.05.11,110.05.11, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,X,,,,,V,,,
6,彩虹國際創意,1,54768893,111800885,1,V,V,X,V,X,V,, X ,X,V,X,X,V,110.05.11,110.05.11, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,X,,,,,V,,,
7,一利投資,2,45879290,490515620,2,V,V, X ,V,X,V,, X ,X,V,V,V,V,110.05.11,110.05.11, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,X,,,,,V,,,
8,佳洋投資,1,45198371,580613266,2,V,V,V,V,X,V,, X ,X,V,V,V,V,110.06.28,, -   ,110.06.28宗霖, 嘉 ,V,V,, 110.07.06 ,X,,,,,V,,,
9,梅川商行,3,94937213,521102126,2,V,V,V, V ,X,X,V, X ,X,V,V,V,V,110.05.17,110.05.17, -   ,110.05.18群嘉, 紜 ,110.05.24,V,, 110.05.18 ,X,,,,,V,,,
10,無藏跨界整合茗業,2,54902385,491117122,1,V,V,V,V,X,V,V, V ,X,V,V,X,V,110.06.15,," 14,978 ",110.06.16群嘉, 紜 ,110.06.22,V,, 110.06.22 ,110.06.23,,,,,V,,,
11,群淼科技,2,54974373,630901036,1,V,V,X, V ,X,V,V,X,X,V,V,X,V,110.05.19,110.05.19, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,X,,,,,V,,,
12,宸鳴興業,2,54899641,491110176,1,V,V,X, V ,X,V,V, X ,X,V,V,X,V,110.05.18,110.05.18, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 , X ,,,,,V,,,
13,金澤實業,2,82963714,520615566,2,V,V,X, V ,X,V,,X,X,V,X,X,V,110.06.30,, -   ,, 紜 ,V,V,, 110.07.06 , X ,,,,,V,,,
14,無齡感,2,54899656,481002754,1,V,V,X, V ,X,V,V, X ,X,V,V,X,V,110.05.11,110.05.11, -   ,110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,X,,,,,V,,,
15,金龍昌模具企業,1,52704780,470211001,1,V,V,V, V , V ,V,V, X ,V,V,V,X,V,110.05.18,110.05.18," 7,184 ",110.05.19群嘉, 紜 ,110.05.24,V,, 110.05.24 ,110.06.28,,,,,V,,,
16,青正科技,1,12920707,470211139,2,V,V,V, V ,X,V,V, X ,X,V,V,V,V,110.06.21,110.05.12, -   ,110.05.19群嘉, 紜 ,110.06.21,V,, 110.06.22 ,X,,,,,V,,,
17,園田城鄉(110換事務所),2,82914284,520400564,2,X,V,X, V ,X,V,V,X,X,V,V,V,V,110.05.12,110.05.12, -   ,110.05.12凱閔, 紜 ,110.05.24,V,, 110.05.12 ,X,,,,,V,,,
20,青田(簽證,2,22229818,,簽證,V,V,V, V ,請客戶簽,V,V, V ,V,V,V,V,V,110.06.24,," 483,554 ",, 紜 ,110.06.24,,, 110.06.24 ,110.06.28,,,,,,,,
21,聾人協會,,26829953,480120271,一般案件,,V,V, V ,,V,,,,,,,V,110.06.03,110.06.03(第3次),,110.06.18群嘉, 紜 ,V,V,, 110.06.03 ,X,,,,,V,,,
22,蔡奉典律師事務所,,08842693,480332015,,,,,,,,,,,,,,,110.06.16,,,110.06.22群嘉, 紜 ,110.06.22,,, 110.06.22 ,,110.05.24 待會計師跟律師討論要不要簽支出證明單 在做申報,,,,V,,,
,蔡奉典個人綜所稅,,P122010049,,,,,,,,,,,,,,,,110.06.23至事務所給會計師申報,,,,,,,,,,,,,,,,,
,金澤實業個人綜所,,請負責人姊姊去申報個人(110.06.18詢問會計師),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,全鑽投資,1,85026570,520411812,2,X,V,V,,X,V,V, X ,X,X,X,V,V,110.05.12,110.05.18(第二次), -   ,110.05.18群嘉, 紜 ,110.05.24,,, 110.05.24 ,X,,,,,V,,,
